Dataset,Model,Loss,F1-Score,ROC_AUC,PR_AUC,Accuracy,Precision,Recall
secom,xgboost_gblinear,adaptive_ce,0.1276595744680851,0.6991935483870967,0.140531874858571,0.9129511677282378,0.1875,0.0967741935483871
steel_faults,xgboost_gblinear,class_balanced_ce,0.7024467485754309,0.9272985963598366,0.7287773771447207,0.7084048027444254,0.6846981810110299,0.7240272577877181
steel_faults,xgboost_gblinear,adaptive_ce,0.7007457159611106,0.9267992184125887,0.7269184437264647,0.7049742710120068,0.6795444514080734,0.7292114903691588
steel_faults,xgboost_gblinear,power_scaled_adaptive_ce,0.6983801665288655,0.9279644782113783,0.7260524825472855,0.7066895368782161,0.6739152359012515,0.7355301520778276
steel_faults,xgboost_gblinear,standard_ce,0.6982919399447522,0.9265104566682095,0.7239205206142904,0.7135506003430532,0.6898189070803408,0.7117438145994199
steel_faults,xgboost_gblinear,power_scaled_inv_ce,0.6957379567676195,0.9258691264770743,0.7267707435894621,0.6912521440823327,0.6697827388311788,0.7396671017024424
steel_faults,xgboost_gblinear,weighted_ce_inv_sqrt,0.693494446555157,0.9276463241663162,0.7252066568650803,0.692967409948542,0.664922456007026,0.7463840039706018
steel_faults,xgboost_gblinear,focal_loss,0.6657087072236575,0.9152342368873143,0.6931538509201168,0.6706689536878216,0.6438679983432712,0.7156257444146024
steel_faults,xgboost_gblinear,weighted_ce_inv,0.6273533304883585,0.9215451680200909,0.7194979686605817,0.6329331046312179,0.6000466993186045,0.732154303859775
steel_faults,xgboost_gblinear,cb_focal_loss,0.5434055882853935,0.89208490921089,0.5986363884186712,0.548885077186964,0.45202088542147234,0.7079118942961905
telco_churn,xgboost_gblinear,class_balanced_ce,0.6295358649789029,0.8347535007442527,0.6263979720762668,0.792238523426408,0.5977564102564102,0.6648841354723708
telco_churn,xgboost_gblinear,adaptive_ce,0.6266666666666667,0.8346788457651102,0.6267727239898719,0.7879791765262659,0.5884194053208138,0.6702317290552585
telco_churn,xgboost_gblinear,power_scaled_adaptive_ce,0.6265457543281121,0.8357734026131539,0.6278545619530074,0.7856128726928537,0.5828220858895705,0.6773618538324421
telco_churn,xgboost_gblinear,weighted_ce_inv,0.6229965156794425,0.8444873614863003,0.6425629382912218,0.7439659252247989,0.511441647597254,0.7967914438502673
telco_churn,xgboost_gblinear,power_scaled_inv_ce,0.6229787234042553,0.8318316197144274,0.623406102464517,0.7903454803596782,0.5960912052117264,0.6524064171122995
telco_churn,xgboost_gblinear,weighted_ce_inv_sqrt,0.6211382113821138,0.8428219811823511,0.643123383742074,0.779460482725982,0.5710014947683109,0.6809269162210339
telco_churn,xgboost_gblinear,standard_ce,0.6079380445304937,0.844667681974383,0.642264033453227,0.808329389493611,0.6652542372881356,0.5597147950089126
telco_churn,xgboost_gblinear,focal_loss,0.5413375460768826,0.822689256114817,0.6174939581177118,0.587789872219593,0.3841554559043348,0.9162210338680927
telco_churn,xgboost_gblinear,cb_focal_loss,0.5413375460768826,0.8229568655015895,0.6174834799154232,0.587789872219593,0.3841554559043348,0.9162210338680927
yeast,xgboost_gblinear,standard_ce,0.5650237671674871,0.8535784636953607,0.6006952635450709,0.5695067264573991,0.5776954382095891,0.5577487795104412
yeast,xgboost_gblinear,power_scaled_adaptive_ce,0.5599861908835082,0.8538325000414183,0.5940333942022827,0.5560538116591929,0.5634251519252713,0.5610975094870438
yeast,xgboost_gblinear,adaptive_ce,0.5427997161674182,0.8578604352296075,0.593950276271466,0.5695067264573991,0.5297785421073093,0.5687277932946636
yeast,xgboost_gblinear,class_balanced_ce,0.5277782317775382,0.8550086920637885,0.5925594967886261,0.547085201793722,0.5111121178030961,0.5555975426726842
yeast,xgboost_gblinear,weighted_ce_inv_sqrt,0.5268348062102028,0.8556959017061881,0.5939401724010188,0.547085201793722,0.5066082933306487,0.5582755809833351
yeast,xgboost_gblinear,power_scaled_inv_ce,0.5245017522693505,0.8530134139907183,0.5922539676145281,0.547085201793722,0.5025795129568714,0.5588907649581492
yeast,xgboost_gblinear,focal_loss,0.4679185940555489,0.8378560299959874,0.552435020916625,0.48878923766816146,0.451924045111208,0.558032572469915
yeast,xgboost_gblinear,weighted_ce_inv,0.4501670932548506,0.8427380822222232,0.5244718796851779,0.47533632286995514,0.4298280990665426,0.5608573019653689
yeast,xgboost_gblinear,cb_focal_loss,0.3862393386468975,0.8298533026685762,0.5170345212585901,0.3542600896860987,0.3577679975616911,0.5309085061795206
