Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
credit_card_fraud,logistic_regression,standard_ce,0.9991573329588147,0.8725490196078431,0.6013513513513513,0.712,0.9402487868019259,0.7067819639234373
credit_card_fraud,logistic_regression,weighted_ce_inv,0.9799398429362265,0.07025246981339188,0.8648648648648649,0.1299492385786802,0.9700742098567293,0.7033773418221028
credit_card_fraud,logistic_regression,weighted_ce_inv_sqrt,0.999133925541004,0.7283950617283951,0.7972972972972973,0.7612903225806451,0.9648552796890917,0.6871385224517548
credit_card_fraud,logistic_regression,class_balanced_ce,0.9991924440855307,0.7969924812030075,0.7162162162162162,0.7544483985765125,0.9679369533083115,0.7177833220386158
credit_card_fraud,logistic_regression,focal_loss,0.9993328885923949,0.864,0.7297297297297297,0.7912087912087912,0.9713680501534421,0.7092695795874131
credit_card_fraud,logistic_regression,adaptive_ce,0.9993211848834895,0.8169014084507042,0.7837837837837838,0.8,0.970993594567661,0.7043897805056979
credit_card_fraud,logistic_regression,power_scaled_adaptive_ce,0.9992275552122467,0.7847222222222222,0.7635135135135135,0.773972602739726,0.9711824462952899,0.7053541949337626
aps_failure,logistic_regression,standard_ce,0.9895625,0.8291139240506329,0.6986666666666667,0.7583212735166426,0.97674624,0.8203548957240168
aps_failure,logistic_regression,weighted_ce_inv,0.976,0.49368863955119213,0.9386666666666666,0.6470588235294118,0.9885684053333333,0.8050086539353035
aps_failure,logistic_regression,weighted_ce_inv_sqrt,0.987625,0.6945054945054945,0.8426666666666667,0.7614457831325301,0.9841829546666667,0.8209412715075559
aps_failure,logistic_regression,class_balanced_ce,0.9895625,0.8095238095238095,0.7253333333333334,0.7651195499296765,0.9770524159999999,0.823235023448236
aps_failure,logistic_regression,focal_loss,0.988875,0.7669376693766937,0.7546666666666667,0.760752688172043,0.9802871466666666,0.8138632848242378
aps_failure,logistic_regression,adaptive_ce,0.9894375,0.8029411764705883,0.728,0.7636363636363637,0.9767291733333334,0.8222071636393838
