Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC,,
credit_card_default,xgboost_gblinear,Focal,0.804444444,0.572142411,0.460070316,0.510022272,0.691896707,0.48091801,,
credit_card_default,xgboost_gblinear,LWCE,0.798666667,0.557928803,0.432948267,0.487556561,0.68653272,0.472595662,,
credit_card_default,xgboost_gblinear,PLWCE,0.802666667,0.573984859,0.418884982,0.484320557,0.699515669,0.479427106,,
glass,xgboost_gblinear,CE,0.692307692,0.660117845,0.675494594,0.660915574,0.911868835,0.730543408,,
glass,xgboost_gblinear,WCE,0.615384615,0.656535948,0.740850012,0.667857143,0.914904655,0.694753376,,
glass,xgboost_gblinear,WCE(sq),0.692307692,0.67189441,0.773360939,0.707344118,0.918230471,0.734883598,,
glass,xgboost_gblinear,PS-WCE,0.692307692,0.686694678,0.772670807,0.719229698,0.915338314,0.7054745,,
glass,xgboost_gblinear,CB,0.676923077,0.679184704,0.790821256,0.70950545,0.916953572,0.735605194,,
glass,xgboost_gblinear,Focal,0.646153846,0.675925926,0.801725328,0.697577277,0.919875336,0.743514632,,
glass,xgboost_gblinear,LWCE,0.723076923,0.726695906,0.761766736,0.736138353,0.916809429,0.739542029,,
glass,xgboost_gblinear,PLWCE,0.646153846,0.648465423,0.750931677,0.678142061,0.91101766,0.719428275,,
steel_faults,xgboost_gblinear,CE,0.715265866,0.696007286,0.719159964,0.705621209,0.92800162,0.725619525,,
steel_faults,xgboost_gblinear,WCE,0.631217839,0.60091515,0.73144709,0.62795106,0.921683679,0.720657583,,
steel_faults,xgboost_gblinear,WCE(sq),0.689536878,0.661869144,0.744969577,0.69063589,0.927443392,0.724799284,,
steel_faults,xgboost_gblinear,PS-WCE,0.703259005,0.673880934,0.736921449,0.698047769,0.927463627,0.725804382,,
steel_faults,xgboost_gblinear,CB,0.711835334,0.690334745,0.725441685,0.706014826,0.927798652,0.724673412,,
steel_faults,xgboost_gblinear,Focal,0.670668954,0.641165705,0.724452689,0.666529111,0.919148823,0.707235149,,
steel_faults,xgboost_gblinear,LWCE,0.716981132,0.688611529,0.739259646,0.710280344,0.928483765,0.726246446,,
steel_faults,xgboost_gblinear,PLWCE,0.703259005,0.670575986,0.736921449,0.695874573,0.927869228,0.726302539,,
yeast,xgboost_gblinear,CE,0.571748879,0.593187319,0.56670671,0.577161278,0.853499794,0.597108458,,
yeast,xgboost_gblinear,WCE,0.477578475,0.423357516,0.551408117,0.447291538,0.842899634,0.569720689,,
yeast,xgboost_gblinear,WCE(sq),0.542600897,0.499343077,0.556074755,0.52115798,0.853771444,0.593290431,,
yeast,xgboost_gblinear,PS-WCE,0.551569507,0.511755437,0.566871525,0.533360716,0.854352647,0.593401682,,
yeast,xgboost_gblinear,CB,0.556053812,0.499143862,0.559146194,0.518361497,0.855412214,0.59194714,,
yeast,xgboost_gblinear,Focal,0.5,0.450440115,0.549154639,0.461905493,0.840718932,0.51420419,,
yeast,xgboost_gblinear,LWCE,0.565022422,0.525378679,0.566617991,0.540686278,0.856150143,0.598044087,,
yeast,xgboost_gblinear,PLWCE,0.553811659,0.507188948,0.560433854,0.52767208,0.855788344,0.594121067,,
page_blocks,xgboost_gblinear,CE,0.96589525,0.8792267,0.788452302,0.829189133,0.981237299,0.885347918,,
page_blocks,xgboost_gblinear,WCE,0.015834348,0.00316687,0.2,0.006235012,0.5,0.2,,
page_blocks,xgboost_gblinear,WCE(sq),0.952496955,0.77590791,0.910847892,0.834884152,0.982406511,0.883134314,,
page_blocks,xgboost_gblinear,PS-WCE,0.948233861,0.746784134,0.906129062,0.813494927,0.982143294,0.882191867,,
page_blocks,xgboost_gblinear,CB,0.959196102,0.797211796,0.891592189,0.83803223,0.982450715,0.883459535,,
page_blocks,xgboost_gblinear,Focal,0.946406821,0.727320932,0.892436883,0.791664747,0.975077576,0.842979425,,
page_blocks,xgboost_gblinear,LWCE,0.961632156,0.829486598,0.802522246,0.815251274,0.982016328,0.891915863,,
page_blocks,xgboost_gblinear,PLWCE,0.958587089,0.798871253,0.876014773,0.834403486,0.982790886,0.893375814,,
