Dataset,Model,Loss,Accuracy,Precision,Recall,F1-Score,ROC_AUC,PR_AUC
credit_card_fraud,xgboost_gblinear,standard_ce,0.9991573329588147,0.8584905660377359,0.6148648648648649,0.7165354330708661,0.9567183368373355,0.710083408
credit_card_fraud,xgboost_gblinear,weighted_ce_inv,0.9993094811745842,0.8156028368794326,0.777027027,0.7958477508650519,0.9733414873341012,0.6980817091323622
credit_card_fraud,xgboost_gblinear,weighted_ce_inv_sqrt,0.9993211848834895,0.8260869565217391,0.7702702702702703,0.7972027972027972,0.9705522804004544,0.700214449
credit_card_fraud,xgboost_gblinear,class_balanced_ce,0.999133926,0.8557692307692307,0.6013513513513513,0.7063492063492064,0.9678619354450293,0.7107938389673234
credit_card_fraud,xgboost_gblinear,focal_loss,0.032899126,0.001787871,1,0.003569361,0.9706452011540234,0.5824375804372209
credit_card_fraud,xgboost_gblinear,adaptive_ce,0.999169037,0.7894736842105263,0.7094594594594594,0.7473309608540926,0.9595572916254083,0.7162823889081462
credit_card_fraud,xgboost_gblinear,power_scaled_adaptive_ce,0.999169037,0.7692307692307693,0.7432432432432432,0.7560137457044673,0.9602517415709866,0.7070538720628706
aps_failure,xgboost_gblinear,standard_ce,0.9895625,0.8333333333333334,0.6933333333333334,0.7569141193595342,0.9742111573333332,0.8082963325587617
aps_failure,xgboost_gblinear,weighted_ce_inv,0.976,0.4936708860759494,0.936,0.6464088397790055,0.9887213226666667,0.8105183513684798
aps_failure,xgboost_gblinear,weighted_ce_inv_sqrt,0.9875625,0.6929824561403509,0.8426666666666667,0.7605294825511432,0.9837210453333333,0.8243453888515022
aps_failure,xgboost_gblinear,class_balanced_ce,0.98975,0.8187311178247734,0.7226666666666667,0.7677053824362606,0.9795464533333333,0.8241423420502945
aps_failure,xgboost_gblinear,focal_loss,0.62625,0.020037677684535023,0.312,0.037656904,0.471911168,0.022382113472745973
aps_failure,xgboost_gblinear,adaptive_ce,0.9896875,0.8143712574850299,0.7253333333333334,0.767277856,0.9795961173333334,0.8236007246448223
aps_failure,xgboost_gblinear,power_scaled_adaptive_ce,0.9896875,0.8017241379310345,0.744,0.7717842323651453,0.9793194666666667,0.8258559000201082
bank_marketing,xgboost_gblinear,standard_ce,0.9021675022117369,0.6536643026004728,0.3484562066792691,0.4545828195643239,0.9054179616160969,0.548235796
bank_marketing,xgboost_gblinear,weighted_ce_inv,0.853288116,0.4292237442922374,0.7700063011972275,0.5511953089760938,0.9051084258902237,0.5418001510761153
bank_marketing,xgboost_gblinear,weighted_ce_inv_sqrt,0.8971542317900324,0.5574850299401197,0.5866414618777568,0.5716917408658274,0.9078261953347992,0.5458934844328498
bank_marketing,xgboost_gblinear,class_balanced_ce,0.8951636685343557,0.5747960108794198,0.39949590422180214,0.47137546468401487,0.8786879062837252,0.512654157
bank_marketing,xgboost_gblinear,focal_loss,0.38535830138602184,0.15384615384615385,0.945179584,0.2646202699126753,0.8000741444205784,0.4049376270593514
bank_marketing,xgboost_gblinear,adaptive_ce,0.90342082,0.642051282,0.39445494643982354,0.4886807181889149,0.9054220915650186,0.5476190827798859
bank_marketing,xgboost_gblinear,power_scaled_adaptive_ce,0.9024624004718372,0.6049284578696343,0.47952110901071204,0.5349736379613357,0.9063281813141224,0.5470209649968178
telco_churn,xgboost_gblinear,standard_ce,0.807382868,0.6638297872340425,0.5561497326203209,0.6052376333656644,0.8445424913170517,0.6420731271059514
telco_churn,xgboost_gblinear,weighted_ce_inv,0.7453857075248462,0.5132336018411968,0.7950089126559715,0.6237762237762238,0.8430505402723413,0.6389612391663575
telco_churn,xgboost_gblinear,weighted_ce_inv_sqrt,0.780407004,0.5722801788375559,0.6844919786096256,0.6233766233766234,0.8395808065494239,0.6401507086666581
telco_churn,xgboost_gblinear,class_balanced_ce,0.7917652626597255,0.5964912280701754,0.6666666666666666,0.6296296296296297,0.8349395639230387,0.6267086366203064
telco_churn,xgboost_gblinear,focal_loss,0.5882631329862754,0.3844427823485415,0.9162210338680927,0.541622761,0.824724466,0.618297302
telco_churn,xgboost_gblinear,adaptive_ce,0.7898722195929957,0.5930047694753577,0.6648841354723708,0.626890756,0.8364728623408125,0.6308377691857707
telco_churn,xgboost_gblinear,power_scaled_adaptive_ce,0.7827733080927591,0.5791925465838509,0.6648841354723708,0.6190871369294606,0.8397220767407244,0.6357844361246338
german_credit,xgboost_gblinear,standard_ce,0.78,0.6578947368421053,0.5555555555555556,0.6024096385542169,0.7971957671957671,0.6395584693144702
german_credit,xgboost_gblinear,weighted_ce_inv,0.7366666666666667,0.5433070866141733,0.7666666666666667,0.6359447004608295,0.798941799,0.6293622986669031
german_credit,xgboost_gblinear,weighted_ce_inv_sqrt,0.7533333333333333,0.5784313725490197,0.6555555555555556,0.6145833333333334,0.7978835978835979,0.6441508796040181
german_credit,xgboost_gblinear,class_balanced_ce,0.74,0.573170732,0.5222222222222223,0.5465116279069767,0.7838624338624339,0.6267898629132431
german_credit,xgboost_gblinear,focal_loss,0.4633333333333333,0.35269709543568467,0.9444444444444444,0.513595166,0.7826455026455027,0.622949571
german_credit,xgboost_gblinear,adaptive_ce,0.76,0.6046511627906976,0.5777777777777777,0.5909090909090909,0.7924867724867725,0.6407590403812263
german_credit,xgboost_gblinear,power_scaled_adaptive_ce,0.7733333333333333,0.6195652173913043,0.6333333333333333,0.6263736263736264,0.7975132275132275,0.641939658
secom,xgboost_gblinear,standard_ce,0.921443737,0.25,0.096774194,0.13953488372093023,0.6838709677419356,0.1369485115892781
secom,xgboost_gblinear,weighted_ce_inv,0.821656051,0.18823529411764706,0.5161290322580645,0.27586206896551724,0.7424486803519061,0.16694972227672522
secom,xgboost_gblinear,weighted_ce_inv_sqrt,0.8726114649681529,0.16279069767441862,0.22580645161290322,0.1891891891891892,0.7379765395894429,0.16330742981743374
secom,xgboost_gblinear,class_balanced_ce,0.9171974522292994,0.21428571428571427,0.096774194,0.13333333333333333,0.7063049853372434,0.14447445754206223
secom,xgboost_gblinear,focal_loss,0.4182590233545648,0.088135593,0.8387096774193549,0.15950920245398773,0.681891496,0.14860589437842592
secom,xgboost_gblinear,adaptive_ce,0.9171974522292994,0.21428571428571427,0.096774194,0.13333333333333333,0.7033724340175953,0.14208878823739365
